UniProt1	UniProt2	symbol1	symbol2	evidence type	heart
O95817	Q06323	BAG3	PSME1	exp	1
O95817	Q13363	BAG3	CTBP1	exp	1
O95817	O95831	BAG3	AIFM1	exp	1
O95817	P20618	BAG3	PSMB1	exp	1
O95817	Q8WUM4	BAG3	PDCD6IP	exp	1
O95817	Q9BQC3	BAG3	DPH2	exp	1
O95817	Q8NF50	BAG3	DOCK8	exp	1
O95817	P11940	BAG3	PABPC1	exp	1
O95817	Q9UL33	BAG3	TRAPPC2L	exp	1
O95817	P52434	BAG3	POLR2H	exp	1
O95817	Q9UJU6	BAG3	DBNL	exp	1
O95817	Q01995	BAG3	TAGLN	exp	1
O95817	P47756	BAG3	CAPZB	exp;ortho	1
O95817	Q9NYF8	BAG3	BCLAF1	exp	1
O95817	P62191	BAG3	PSMC1	exp	1
O95817	P00441	BAG3	SOD1	exp	1
O95817	Q9UBT2	BAG3	UBA2	exp	1
O95817	Q6PJW8	BAG3	CNST	exp	1
O95817	Q99614	BAG3	TTC1	exp	1
O95817	Q15691	BAG3	MAPRE1	exp	1
O95817	P63104	BAG3	YWHAZ	exp	1
O95817	Q9Y6R4	BAG3	MAP3K4	exp	1
O95817	P27816	BAG3	MAP4	exp	1
O95817	P62942	BAG3	FKBP1A	exp	1
O95817	P62993	BAG3	GRB2	exp	1
O95817	Q15759	BAG3	MAPK11	exp	1
O95817	P31946	BAG3	YWHAB	exp	1
O95817	P50395	BAG3	GDI2	exp	1
O95817	Q13057	BAG3	COASY	exp	1
O95817	P49321	BAG3	NASP	exp	1
O95817	P63208	BAG3	SKP1	exp	1
O95817	Q5TB80	BAG3	CEP162	exp	1
O95817	Q03933	BAG3	HSF2	exp	1
O95817	P28070	BAG3	PSMB4	exp	1
O95817	P21266	BAG3	GSTM3	exp	1
O95817	Q9UL46	BAG3	PSME2	exp	1
O95817	P15311	BAG3	EZR	exp	1
O95817	Q8TCX1	BAG3	DYNC2LI1	exp	1
O95817	Q15678	BAG3	PTPN14	exp	1
O95817	P50995	BAG3	ANXA11	exp	1
O95817	Q9NRA1	BAG3	PDGFC	exp	1
O95817	Q5XKE5	BAG3	KRT79	exp	1
O95817	Q96G03	BAG3	PGM2	exp	1
O95817	P50851	BAG3	LRBA	exp	1
O95817	Q9UK59	BAG3	DBR1	exp	1
O95817	P04083	BAG3	ANXA1	exp	1
O95817	P05109	BAG3	S100A8	exp	1
O95817	Q9H4F1	BAG3	ST6GALNAC4	exp	1
O95817	Q14566	BAG3	MCM6	exp	1
O95817	P78362	BAG3	SRPK2	exp	1
O95817	P62820	BAG3	RAB1A	exp	1
O95817	Q9H8Y8	BAG3	GORASP2	exp	1
O95817	Q9UBE0	BAG3	SAE1	exp	1
O95817	Q86UU1	BAG3	PHLDB1	exp	1
O95817	P81408	BAG3	FAM189B	exp	1
O95817	P07900	BAG3	HSP90AA1	exp;pred	1
O95817	Q01844	BAG3	EWSR1	exp	1
O95817	Q96DG6	BAG3	CMBL	exp	1
O95817	Q14008	BAG3	CKAP5	exp	1
O95817	P63313	BAG3	TMSB10	exp	1
O95817	Q8N0X2	BAG3	SPAG16	exp	1
O95817	Q9NZL9	BAG3	MAT2B	exp	1
O95817	P57076	BAG3	C21orf59	exp	1
O95817	Q99933	BAG3	BAG1	exp;pred	1
O95817	P17040	BAG3	ZSCAN20	exp	1
O95817	P33241	BAG3	LSP1	exp	1
O95817	P16949	BAG3	STMN1	exp	1
O95817	P51805	BAG3	PLXNA3	exp	1
O95817	P13693	BAG3	TPT1	exp	1
O95817	Q92917	BAG3	GPKOW	exp	1
O95817	P80404	BAG3	ABAT	exp	1
O95817	P68402	BAG3	PAFAH1B2	exp	1
O95817	Q99829	BAG3	CPNE1	exp	1
O95817	Q5S007	BAG3	LRRK2	exp	1
O95817	Q8N720	BAG3	ZNF655	exp	1
O95817	P02511	BAG3	CRYAB	exp;pred	1
O95817	P42702	BAG3	LIFR	exp	1
O95817	Q8TD19	BAG3	NEK9	exp	1
O95817	P33993	BAG3	MCM7	exp	1
O95817	Q92796	BAG3	DLG3	exp	1
O95817	P51617	BAG3	IRAK1	exp	1
O95817	P17980	BAG3	PSMC3	exp	1
O95817	P60896	BAG3	SEM1	exp	1
O95817	P07602	BAG3	PSAP	exp	1
O95817	Q96B67	BAG3	ARRDC3	exp	1
O95817	P34932	BAG3	HSPA4	exp;pred	1
O95817	Q9NS18	BAG3	GLRX2	exp	1
O95817	Q14146	BAG3	URB2	exp	1
O95817	Q15648	BAG3	MED1	exp	1
O95817	Q9Y2Z0	BAG3	SUGT1	exp	1
O95817	P25942	BAG3	CD40	exp	1
O95817	P46952	BAG3	HAAO	exp	1
O95817	Q13542	BAG3	EIF4EBP2	exp	1
O95817	O95817	BAG3	BAG3	exp;pred	1
O95817	Q9BSI4	BAG3	TINF2	exp	1
O95817	Q9Y657	BAG3	SPIN1	exp	1
O95817	Q9NQW7	BAG3	XPNPEP1	exp	1
O95817	P07355	BAG3	ANXA2	exp	1
O95817	P61088	BAG3	UBE2N	exp	1
O95817	Q9Y5J7	BAG3	TIMM9	exp	1
O95817	Q9UI08	BAG3	EVL	exp	1
O95817	P49720	BAG3	PSMB3	exp	1
O95817	Q15773	BAG3	MLF2	exp	1
O95817	Q14145	BAG3	KEAP1	exp	1
O95817	Q96KN4	BAG3	FAM84A	exp	1
O95817	P42574	BAG3	CASP3	exp	1
O95817	Q9UDY4	BAG3	DNAJB4	exp	1
O95817	P54252	BAG3	ATXN3	exp	1
O95817	Q99943	BAG3	AGPAT1	exp	1
O95817	Q14764	BAG3	MVP	exp	1
O95817	Q969T9	BAG3	WBP2	exp	1
O95817	Q9NR12	BAG3	PDLIM7	exp	1
O95817	Q9BVM2	BAG3	DPCD	exp	1
O95817	P13804	BAG3	ETFA	exp	1
O95817	Q96IL0	BAG3	APOPT1	exp	1
O95817	P07237	BAG3	P4HB	exp	1
O95817	P30039	BAG3	PBLD	exp	1
O95817	Q9NUX5	BAG3	POT1	exp	1
O95817	P21291	BAG3	CSRP1	exp	1
O95817	Q9UMS6	BAG3	SYNPO2	exp	1
O95817	P19174	BAG3	PLCG1	exp	1
O95817	P68036	BAG3	UBE2L3	exp	1
O95817	Q9UJY1	BAG3	HSPB8	exp;ortho;pred	1
O95817	P08263	BAG3	GSTA1	exp	1
O95817	P54652	BAG3	HSPA2	exp	1
O95817	Q9H832	BAG3	UBE2Z	exp	1
O95817	P30086	BAG3	PEBP1	exp	1
O95817	Q6NZI2	BAG3	CAVIN1	exp	1
O95817	P09471	BAG3	GNAO1	exp	1
O95817	Q9HCY8	BAG3	S100A14	exp	1
O95817	Q9BY42	BAG3	RTFDC1	exp	1
O95817	P20339	BAG3	RAB5A	exp	1
O95817	P54274	BAG3	TERF1	exp	1
O95817	P06493	BAG3	CDK1	exp	1
O95817	Q00537	BAG3	CDK17	exp	1
O95817	Q8TF01	BAG3	PNISR	exp	1
O95817	P62072	BAG3	TIMM10	exp	1
O95817	Q15884	BAG3	FAM189A2	exp	1
O95817	P51149	BAG3	RAB7A	exp	1
O95817	P27348	BAG3	YWHAQ	exp	1
O95817	Q9UNE7	BAG3	STUB1	exp;pred	1
O95817	P52907	BAG3	CAPZA1	exp	1
O95817	P28074	BAG3	PSMB5	exp	1
O95817	P60604	BAG3	UBE2G2	exp	1
O95817	Q9Y4P1	BAG3	ATG4B	exp	1
O95817	P55957	BAG3	BID	exp;pred	1
O95817	Q14157	BAG3	UBAP2L	exp	1
O95817	Q8IV45	BAG3	UNC5CL	exp	1
O95817	Q8N1F7	BAG3	NUP93	exp	1
O95817	P53539	BAG3	FOSB	exp	1
O95817	Q16401	BAG3	PSMD5	exp	1
O95817	Q6IBS0	BAG3	TWF2	exp	1
O95817	Q9P0U3	BAG3	SENP1	exp	1
O95817	Q9BWD1	BAG3	ACAT2	exp	1
O95817	Q9BZZ5	BAG3	API5	exp	1
O95817	P81877	BAG3	SSBP2	exp	1
O95817	P08758	BAG3	ANXA5	exp	1
O95817	Q8N6L7	BAG3	TMEM252	exp	1
O95817	Q99732	BAG3	LITAF	exp	1
O95817	Q9H0U4	BAG3	RAB1B	exp	1
O95817	Q04917	BAG3	YWHAH	exp	1
O95817	P49792	BAG3	RANBP2	exp;pred	1
O95817	Q13630	BAG3	TSTA3	exp	1
O95817	P56159	BAG3	GFRA1	exp	1
O95817	Q8NFG4	BAG3	FLCN	exp	1
O95817	P78527	BAG3	PRKDC	exp	1
O95817	Q9BVJ7	BAG3	DUSP23	exp	1
O95817	Q9BQ69	BAG3	MACROD1	exp	1
O95817	P78417	BAG3	GSTO1	exp	1
O95817	P05161	BAG3	ISG15	exp	1
O95817	P08238	BAG3	HSP90AB1	exp	1
O95817	Q7Z3E2	BAG3	CCDC186	exp	1
O95817	P25787	BAG3	PSMA2	exp	1
O95817	Q9Y4Y9	BAG3	LSM5	exp	1
O95817	Q15468	BAG3	STIL	exp	1
O95817	Q9BPW5	BAG3	RASL11B	exp	1
O95817	Q96SZ6	BAG3	CDK5RAP1	exp	1
O95817	Q9Y3B2	BAG3	EXOSC1	exp	1
O95817	Q9Y6K9	BAG3	IKBKG	exp;pred	1
O95817	Q96RD7	BAG3	PANX1	exp	1
O95817	P49759	BAG3	CLK1	exp	1
O95817	Q00839	BAG3	HNRNPU	exp	1
O95817	P08754	BAG3	GNAI3	exp	1
O95817	Q8N3V7	BAG3	SYNPO	exp	1
O95817	P16035	BAG3	TIMP2	exp	1
O95817	Q5GLZ8	BAG3	HERC4	exp	1
O95817	Q9Y4P8	BAG3	WIPI2	exp	1
O95817	Q99618	BAG3	CDCA3	exp	1
O95817	Q9NQS3	BAG3	NECTIN3	exp	1
O95817	P09874	BAG3	PARP1	exp	1
O95817	P09972	BAG3	ALDOC	exp	1
O95817	P10619	BAG3	CTSA	exp	1
O95817	Q07820	BAG3	MCL1	exp;pred	1
O95817	Q9UNQ2	BAG3	DIMT1	exp	1
O95817	Q13435	BAG3	SF3B2	exp	1
O95817	P61981	BAG3	YWHAG	exp	1
O95817	Q9Y617	BAG3	PSAT1	exp	1
O95817	Q96FN4	BAG3	CPNE2	exp	1
O95817	Q13155	BAG3	AIMP2	exp	1
O95817	P43353	BAG3	ALDH3B1	exp	1
O95817	P62258	BAG3	YWHAE	exp;ortho	1
O95817	P05549	BAG3	TFAP2A	exp	1
O95817	Q99650	BAG3	OSMR	exp	1
O95817	P42858	BAG3	HTT	exp	1
O95817	P55209	BAG3	NAP1L1	exp	1
O95817	Q96HL8	BAG3	SH3YL1	exp	1
O95817	Q92625	BAG3	ANKS1A	exp	1
O95817	Q15149	BAG3	PLEC	exp	1
O95817	Q9UBN7	BAG3	HDAC6	exp	1
O95817	P05141	BAG3	SLC25A5	exp	1
O95817	Q9BU89	BAG3	DOHH	exp	1
O95817	P08865	BAG3	RPSA	exp	1
O95817	P30411	BAG3	BDKRB2	exp	1
O95817	P08670	BAG3	VIM	exp	1
O95817	Q53GG5	BAG3	PDLIM3	exp	1
O95817	Q8N239	BAG3	KLHL34	exp	1
O95817	Q13480	BAG3	GAB1	exp	1
O95817	P28066	BAG3	PSMA5	exp	1
O95817	Q4VCS5	BAG3	AMOT	exp	1
O95817	P46108	BAG3	CRK	exp	1
O95817	Q9NWS6	BAG3	FAM118A	exp	1
O95817	Q92567	BAG3	FAM168A	exp	1
O95817	P63279	BAG3	UBE2I	exp	1
O95817	Q9UKB1	BAG3	FBXW11	exp	1
O95817	P55735	BAG3	SEC13	exp	1
O95817	P06744	BAG3	GPI	exp	1
O95817	Q6ZVM7	BAG3	TOM1L2	exp	1
O95817	Q9H2H8	BAG3	PPIL3	exp	1
O95817	P62195	BAG3	PSMC5	exp	1
O95817	Q96AP0	BAG3	ACD	exp	1
O95817	Q9UJY5	BAG3	GGA1	exp	1
O95817	P23297	BAG3	S100A1	exp	1
O95817	P21796	BAG3	VDAC1	exp	1
O95817	P82664	BAG3	MRPS10	exp	1
O95817	P61923	BAG3	COPZ1	exp	1
O95817	P12236	BAG3	SLC25A6	exp	1
O95817	Q76I76	BAG3	SSH2	exp	1
O95817	Q13164	BAG3	MAPK7	exp	1
O95817	P17036	BAG3	ZNF3	exp	1
O95817	P15374	BAG3	UCHL3	exp	1
O95817	Q86WQ0	BAG3	NR2C2AP	exp	1
O95817	Q96NT1	BAG3	NAP1L5	exp	1
O95817	Q9UIV1	BAG3	CNOT7	exp	1
O95817	Q9BUY5	BAG3	ZNF426	exp	1
O95817	P15559	BAG3	NQO1	exp;pred	1
O95817	Q92747	BAG3	ARPC1A	exp	1
O95817	P35998	BAG3	PSMC2	exp	1
O95817	Q7Z769	BAG3	SLC35E3	exp	1
O95817	Q07912	BAG3	TNK2	exp	1
O95817	P13533	BAG3	MYH6	exp	1
O95817	P07384	BAG3	CAPN1	exp	1
O95817	P67775	BAG3	PPP2CA	exp	1
O95817	Q13283	BAG3	G3BP1	exp	1
O95817	Q9P0R6	BAG3	GSKIP	exp	1
O95817	P15880	BAG3	RPS2	exp	1
O95817	Q9H2U2	BAG3	PPA2	exp	1
O95817	P22314	BAG3	UBA1	exp	1
O95817	P12931	BAG3	SRC	exp	1
O95817	P53396	BAG3	ACLY	exp	1
O95817	Q5I0X7	BAG3	TTC32	exp	1
O95817	Q9Y230	BAG3	RUVBL2	exp	1
O95817	P19338	BAG3	NCL	exp	1
O95817	Q9NT62	BAG3	ATG3	exp	1
O95817	Q86WT6	BAG3	TRIM69	exp	1
O95817	Q9NUD9	BAG3	PIGV	exp	1
O95817	Q8N4Y2	BAG3	CRACR2B	exp	1
O95817	P06132	BAG3	UROD	exp	1
O95817	Q9BT04	BAG3	FUZ	exp	1
O95817	Q6IAA8	BAG3	LAMTOR1	exp	1
O95817	Q9UBU9	BAG3	NXF1	exp	1
O95817	Q9Y5V3	BAG3	MAGED1	exp	1
O95817	P46109	BAG3	CRKL	exp	1
O95817	Q8TBE9	BAG3	NANP	exp	1
O95817	Q13620	BAG3	CUL4B	exp	1
O95817	P55327	BAG3	TPD52	exp	1
O95817	Q9BT78	BAG3	COPS4	exp	1
O95817	Q14203	BAG3	DCTN1	exp	1
O95817	P30825	BAG3	SLC7A1	exp	1
O95817	Q13200	BAG3	PSMD2	exp	1
O95817	Q9Y3C4	BAG3	TPRKB	exp	1
O95817	Q5K4L6	BAG3	SLC27A3	exp	1
O95817	Q15554	BAG3	TERF2	exp	1
O95817	Q9H098	BAG3	FAM107B	exp	1
O95817	P25788	BAG3	PSMA3	exp	1
O95817	P52943	BAG3	CRIP2	exp	1
O95817	P84022	BAG3	SMAD3	exp	1
O95817	P11413	BAG3	G6PD	exp	1
O95817	Q13571	BAG3	LAPTM5	exp	1
O95817	Q9BQI0	BAG3	AIF1L	exp	1
O95817	Q16775	BAG3	HAGH	exp	1
O95817	P58340	BAG3	MLF1	exp	1
O95817	Q96BF3	BAG3	TMIGD2	exp	1
O95817	Q53RE8	BAG3	ANKRD39	exp	1
O95817	Q15038	BAG3	DAZAP2	exp	1
O95817	Q9UGI9	BAG3	PRKAG3	exp	1
O95817	Q9H0P0	BAG3	NT5C3A	exp	1
O95817	Q8NBM4	BAG3	UBAC2	exp	1
P00533	P29353	EGFR	SHC1	exp;ortho;pred	1
P00533	P09619	EGFR	PDGFRB	exp;pred	1
P00533	Q14444	EGFR	CAPRIN1	exp	1
P00533	P56539	EGFR	CAV3	exp	1
P00533	P41240	EGFR	CSK	exp;pred	1
P00533	Q13671	EGFR	RIN1	exp;pred	1
P00533	P17612	EGFR	PRKACA	exp;pred	1
P00533	Q13137	EGFR	CALCOCO2	exp	1
P00533	Q6P0Q8	EGFR	MAST2	exp	1
P00533	P78527	EGFR	PRKDC	exp	1
P00533	Q14004	EGFR	CDK13	exp;pred	1
P00533	Q9H7D7	EGFR	WDR26	exp	1
P00533	Q14157	EGFR	UBAP2L	exp	1
P00533	P08237	EGFR	PFKM	exp	1
P00533	Q9HCF6	EGFR	TRPM3	exp	1
P00533	P41227	EGFR	NAA10	exp	1
P00533	Q92611	EGFR	EDEM1	exp	1
P00533	Q01650	EGFR	SLC7A5	exp;pred	1
P00533	P12956	EGFR	XRCC6	exp;pred	1
P00533	P29466	EGFR	CASP1	exp	1
P00533	P20020	EGFR	ATP2B1	exp	1
P00533	Q9BT09	EGFR	CNPY3	exp;pred	1
P00533	Q9H6H4	EGFR	REEP4	exp	1
P00533	Q9NYD6	EGFR	HOXC10	exp	1
P00533	P29350	EGFR	PTPN6	exp;ortho;pred	1
P00533	Q9NS69	EGFR	TOMM22	exp	1
P00533	Q8NC26	EGFR	ZNF114	exp	1
P00533	P30530	EGFR	AXL	exp;pred	1
P00533	Q9UKW4	EGFR	VAV3	exp;pred	1
P00533	P07900	EGFR	HSP90AA1	exp;pred	1
P00533	P33991	EGFR	MCM4	exp	1
P00533	Q7Z3U7	EGFR	MON2	exp	1
P00533	Q9H0S4	EGFR	DDX47	exp	1
P00533	Q8TEX9	EGFR	IPO4	exp	1
P00533	P09543	EGFR	CNP	exp	1
P00533	Q03701	EGFR	CEBPZ	exp	1
P00533	Q86XI2	EGFR	NCAPG2	exp	1
P00533	P17252	EGFR	PRKCA	exp;pred	1
P00533	P08069	EGFR	IGF1R	exp;pred	1
P00533	Q9BX97	EGFR	PLVAP	exp	1
P00533	Q9H7C9	EGFR	AAMDC	exp	1
P00533	P68431	EGFR	HIST1H3A;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3E;HIST1H3F;HIST1H3G;HIST1H3H;HIST1H3I;HIST1H3J	exp	1
P00533	P25705	EGFR	ATP5A1	exp	1
P00533	P30101	EGFR	PDIA3	exp	1
P00533	Q96C36	EGFR	PYCR2	exp	1
P00533	Q02790	EGFR	FKBP4	exp	1
P00533	P28331	EGFR	NDUFS1	exp	1
P00533	Q9Y4W6	EGFR	AFG3L2	exp	1
P00533	Q86SG6	EGFR	NEK8	exp	1
P00533	P08631	EGFR	HCK	exp;pred	1
P00533	P06132	EGFR	UROD	exp	1
P00533	Q9BXS5	EGFR	AP1M1	exp	1
P00533	Q13905	EGFR	RAPGEF1	exp;pred	1
P00533	Q8N0S6	EGFR	CENPL	exp	1
P00533	P22695	EGFR	UQCRC2	exp	1
P00533	P07949	EGFR	RET	exp;pred	1
P00533	P01137	EGFR	TGFB1	exp;pred	1
P00533	Q16891	EGFR	IMMT	exp	1
P00533	P62330	EGFR	ARF6	exp;pred	1
P00533	Q8N983	EGFR	MRPL43	exp	1
P00533	P51636	EGFR	CAV2	exp;pred	1
P00533	Q15139	EGFR	PRKD1	exp;pred	1
P00533	P27487	EGFR	DPP4	exp	1
P00533	Q9UIG8	EGFR	SLCO3A1	exp	1
P00533	Q15819	EGFR	UBE2V2	exp	1
P00533	P61966	EGFR	AP1S1	exp	1
P00533	P52294	EGFR	KPNA1	exp;pred	1
P00533	P31947	EGFR	SFN	exp;pred	1
P00533	P17931	EGFR	LGALS3	exp;pred	1
P00533	Q96C19	EGFR	EFHD2	exp	1
P00533	Q8NI60	EGFR	COQ8A	exp	1
P00533	Q9HA77	EGFR	CARS2	exp	1
P00533	P23634	EGFR	ATP2B4	exp	1
P00533	P18433	EGFR	PTPRA	exp;pred	1
P00533	P52630	EGFR	STAT2	exp;pred	1
P00533	Q86VI4	EGFR	LAPTM4B	exp	1
